timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/06 09:54:18.804, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 25 %, 1 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:19.805, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:20.805, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:21.806, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:22.807, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:23.808, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:24.809, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:25.810, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:26.811, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:27.811, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
